survey	recording_givid	user_reference	var	var_code	value	value_numeric	is_below_LOQ	is_above_LOQ	is_numeric	unit
HT3260	IV2016120512445956	DesNe_02_20160826	som van vlekken	Som	0.5	0.5	0	0	1	m²
HT3260	IV2016120512445956	DesNe_02_20160826	submerse vegetatie frequent	sv_2	100	100	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	totale bedekking	TOT	80	80	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	vegetatievlekken =< 1 m²	<1	3	3	0	0	1	count
HT3260	IV2016120512445956	DesNe_02_20160826	verstoring eutrofiëringsindicatoren	veui	20	20	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	verstoring helofyten	vhel	15	15	0	0	1	%
HT3260	IV2016120512445956	DesNe_02_20160826	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	beheer	beh	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	breedte	Breed	5	5	0	0	1	m
HT3260	IV2016120514075835	RodLo_02_20160826	diepte	Diep	0.3	0.3	0	0	1	m
HT3260	IV2016120514075835	RodLo_02_20160826	dominant oeverprofiel lo	profl	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	dominant oeverprofiel ro	profr	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	grof organisch materiaal	orgma	geen grof materiaal	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	helderheid van de waterkolom	turbi	troebel door substraat	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120514075835	RodLo_02_20160826	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120514075835	RodLo_02_20160826	schaduw boom en struik	schab	0	0	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	schaduw oevervegetatie	schao	0	0	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	slibdikte	Slib	0.03	0.03	0	0	1	m
HT3260	IV2016120514075835	RodLo_02_20160826	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016120514075835	RodLo_02_20160826	submerse vegetatie frequent	sv_2	20	20	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	submerse vegetatie schaars	sv_1	80	80	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	totale bedekking	TOT	30	30	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	verstoring eutrofiëringsindicatoren	veui	0.5	0.5	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	verstoring helofyten	vhel	10	10	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	verstoring invasieve exoten	viex	0.5	0.5	0	0	1	%
HT3260	IV2016120514075835	RodLo_02_20160826	waterpeil	peil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	beheer	beh	deels maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	breedte	Breed	5	5	0	0	1	m
HT3260	IV2016120514101427	LaaBe_01_20160826	diepte	Diep	0.8	0.8	0	0	1	m
HT3260	IV2016120514101427	LaaBe_01_20160826	dominant oeverprofiel lo	profl	natuurlijk: ong 90%	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	grof organisch materiaal	orgma	takken	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120514101427	LaaBe_01_20160826	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120514101427	LaaBe_01_20160826	schaduw boom en struik	schab	0	0	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	schaduw oevervegetatie	schao	0	0	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	slibdikte	Slib	0	0	0	0	1	m
HT3260	IV2016120514101427	LaaBe_01_20160826	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016120514101427	LaaBe_01_20160826	submerse vegetatie frequent	sv_2	100	100	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	totale bedekking	TOT	60	60	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	verstoring eutrofiëringsindicatoren	veui	10	10	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	verstoring helofyten	vhel	20	20	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	verstoring invasieve exoten	viex	5	5	0	0	1	%
HT3260	IV2016120514101427	LaaBe_01_20160826	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	artificiële structuren	artif	bodemplaat of -val	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	artificiële structuren	artif	duiker	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	dominant oeverprofiel lo	profl	kunstmatig: ong 90°	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	dominant oeverprofiel ro	profr	kunstmatig: ong 90°	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	lengte bodemplaat of -val	Plaat	100	100	0	0	1	m
HT3260	IV2016120514573877	BriLo_01_20160728	lengte duiker	Duik	10	10	0	0	1	m
HT3260	IV2016120514573877	BriLo_01_20160728	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120514573877	BriLo_01_20160728	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	breedte	Breed	5.5	5.5	0	0	1	m
HT3260	IV2016120808312250	IttBe_01_20160727	diepte	Diep	0.15	0.15	0	0	1	m
HT3260	IV2016120808312250	IttBe_01_20160727	dominant oeverprofiel lo	profl	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	grootte grootste vlek	MaxGr	6	6	0	0	1	m²
HT3260	IV2016120808312250	IttBe_01_20160727	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120808312250	IttBe_01_20160727	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120808312250	IttBe_01_20160727	schaduw boom en struik	schab	60	60	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	schaduw oevervegetatie	schao	0	0	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	slibdikte	Slib	0	0	0	0	1	m
HT3260	IV2016120808312250	IttBe_01_20160727	som van vlekken	Som	15	15	0	0	1	m²
HT3260	IV2016120808312250	IttBe_01_20160727	submerse vegetatie afwezig	sv_0	10	10	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	submerse vegetatie frequent	sv_2	20	20	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	submerse vegetatie schaars	sv_1	70	70	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	totale bedekking	TOT	4	4	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	vegetatievlekken =< 1 m²	<1	11	11	0	0	1	count
HT3260	IV2016120808312250	IttBe_01_20160727	vegetatievlekken > 1 - 5 m²	1-5	4	4	0	0	1	count
HT3260	IV2016120808312250	IttBe_01_20160727	vegetatievlekken > 5 - 10 m²	5-10	1	1	0	0	1	count
HT3260	IV2016120808312250	IttBe_01_20160727	verstoring eutrofiëringsindicatoren	veui	<1	1	1	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	verstoring helofyten	vhel	<1	1	1	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	verstoring invasieve exoten	viex	0	0	0	0	1	%
HT3260	IV2016120808312250	IttBe_01_20160727	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	artificiële structuren	artif	bodemplaat of -val	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	artificiële structuren	artif	buizen (drainage, overstort)	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	beheer	beh	deels maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	breedte	Breed	3.5	3.5	0	0	1	m
HT3260	IV2016120809224601	SchNe_02_20160826	diepte	Diep	0.9	0.9	0	0	1	m
HT3260	IV2016120809224601	SchNe_02_20160826	dominant oeverprofiel lo	profl	kunstmatig: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	dominant oeverprofiel ro	profr	kunstmatig: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	grootte grootste vlek	MaxGr	100	100	0	0	1	m²
HT3260	IV2016120809224601	SchNe_02_20160826	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120809224601	SchNe_02_20160826	lengte bodemplaat of -val	Plaat	2	2	0	0	1	m
HT3260	IV2016120809224601	SchNe_02_20160826	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120809224601	SchNe_02_20160826	schaduw boom en struik	schab	<1	1	1	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	schaduw oevervegetatie	schao	<1	1	1	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	slibdikte	Slib	0	0	0	0	1	m
HT3260	IV2016120809224601	SchNe_02_20160826	som van vlekken	Som	200	200	0	0	1	m²
HT3260	IV2016120809224601	SchNe_02_20160826	submerse vegetatie frequent	sv_2	100	100	0	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	totale bedekking	TOT	90	90	0	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	vegetatievlekken =< 1 m²	<1	10	10	0	0	1	count
HT3260	IV2016120809224601	SchNe_02_20160826	vegetatievlekken > 1 - 5 m²	1-5	1	1	0	0	1	count
HT3260	IV2016120809224601	SchNe_02_20160826	vegetatievlekken > 5 - 10 m²	5-10	1	1	0	0	1	count
HT3260	IV2016120809224601	SchNe_02_20160826	vegetatievlekken > 50 m²	>50	2	2	0	0	1	count
HT3260	IV2016120809224601	SchNe_02_20160826	verstoring eutrofiëringsindicatoren	veui	<1	1	1	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	verstoring helofyten	vhel	10	10	0	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	verstoring invasieve exoten	viex	<1	1	1	0	1	%
HT3260	IV2016120809224601	SchNe_02_20160826	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	beheer	beh	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	breedte	Breed	1	1	0	0	1	m
HT3260	IV2016120810153277	BriLo_04_20160728	diepte	Diep	0.25	0.25	0	0	1	m
HT3260	IV2016120810153277	BriLo_04_20160728	dominant oeverprofiel lo	profl	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	grof organisch materiaal	orgma	takken	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	helderheid van de waterkolom	turbi	troebel door substraat	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120810153277	BriLo_04_20160728	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120810153277	BriLo_04_20160728	schaduw boom en struik	schab	40	40	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	schaduw oevervegetatie	schao	20	20	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	slibdikte	Slib	0.01	0.01	0	0	1	m
HT3260	IV2016120810153277	BriLo_04_20160728	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016120810153277	BriLo_04_20160728	submerse vegetatie afwezig	sv_0	100	100	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	totale bedekking	TOT	7	7	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	verstoring eutrofiëringsindicatoren	veui	0	0	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	verstoring helofyten	vhel	7	7	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	verstoring invasieve exoten	viex	0	0	0	0	1	%
HT3260	IV2016120810153277	BriLo_04_20160728	waterpeil	peil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	artificiële structuren	artif	duiker	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	beheer	beh	volledig maaien watervegetatie	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	breedte	Breed	1.35	1.35	0	0	1	m
HT3260	IV2016120810542004	BriLo_05_20160728	diepte	Diep	0.15	0.15	0	0	1	m
HT3260	IV2016120810542004	BriLo_05_20160728	dominant oeverprofiel lo	profl	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	dominant oeverprofiel ro	profr	natuurlijk: vanaf 45°	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	helderheid van de waterkolom	turbi	bodemzicht	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120810542004	BriLo_05_20160728	lengte duiker	Duik	5	5	0	0	1	m
HT3260	IV2016120810542004	BriLo_05_20160728	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120810542004	BriLo_05_20160728	schaduw boom en struik	schab	30	30	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	schaduw oevervegetatie	schao	30	30	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016120810542004	BriLo_05_20160728	submerse vegetatie afwezig	sv_0	95	95	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	submerse vegetatie schaars	sv_1	5	5	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	totale bedekking	TOT	10	10	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	verstoring eutrofiëringsindicatoren	veui	0	0	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	verstoring helofyten	vhel	10	10	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	verstoring invasieve exoten	viex	0	0	0	0	1	%
HT3260	IV2016120810542004	BriLo_05_20160728	waterpeil	peil	uitzonderlijk laag	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	artificiële structuren	artif	geen artificiele structuur	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	beheer	beh	geen beheer gekend	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	breedte	Breed	4.5	4.5	0	0	1	m
HT3260	IV2016120811021713	GroNe_04_20160728	diepte	Diep	0.55	0.55	0	0	1	m
HT3260	IV2016120811021713	GroNe_04_20160728	dominant oeverprofiel lo	profl	natuurlijk: ong 90%	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	dominant oeverprofiel ro	profr	natuurlijk: ong 90%	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	grof organisch materiaal	orgma	takken	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	helderheid van de waterkolom	turbi	troebel door substraat	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120811021713	GroNe_04_20160728	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120811021713	GroNe_04_20160728	schaduw boom en struik	schab	50	50	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	schaduw oevervegetatie	schao	1	1	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	secchi-diepte	Secch	0.25	0.25	0	0	1	m
HT3260	IV2016120811021713	GroNe_04_20160728	som van vlekken	Som	0	0	0	0	1	m²
HT3260	IV2016120811021713	GroNe_04_20160728	submerse vegetatie frequent	sv_2	40	40	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	submerse vegetatie schaars	sv_1	60	60	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	totale bedekking	TOT	15	15	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	verstoring eutrofiëringsindicatoren	veui	10	10	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	verstoring helofyten	vhel	5	5	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	verstoring invasieve exoten	viex	0	0	0	0	1	%
HT3260	IV2016120811021713	GroNe_04_20160728	waterpeil	peil	normaal	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	artificiële structuren	artif	buizen (drainage, overstort)	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	beheer	beh	geen beheer gekend	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	breedte	Breed	2	2	0	0	1	m
HT3260	IV2016120811543925	GroNe_11_20160728	diepte	Diep	0.6	0.6	0	0	1	m
HT3260	IV2016120811543925	GroNe_11_20160728	dominant oeverprofiel lo	profl	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	dominant oeverprofiel ro	profr	natuurlijk: minder dan 45°	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	grof organisch materiaal	orgma	bladeren	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	grof organisch materiaal	orgma	dikke takken / stam	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	grof organisch materiaal	orgma	takken	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	grof organisch materiaal	orgma	twijgjes	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	grootte grootste vlek	MaxGr	0.5	0.5	0	0	1	m²
HT3260	IV2016120811543925	GroNe_11_20160728	helderheid van de waterkolom	turbi	troebel door substraat	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	lengte	Lang	100	100	0	0	1	m
HT3260	IV2016120811543925	GroNe_11_20160728	manier waarop de opname gemaakt is	wijze	wadend	NA	0	0	0	class
HT3260	IV2016120811543925	GroNe_11_20160728	schaduw boom en struik	schab	60	60	0	0	1	%
HT3260	IV2016120811543925	GroNe_11_20160728	schaduw oevervegetatie	schao	5	5	0	0	1	%
HT3260	IV2016120811543925	GroNe_11_20160728	secchi-diepte	Secch	0.25	0.25	0	0	1	m
HT3260	IV2016120811543925	GroNe_11_20160728	slibdikte	Slib	0	0	0	0	1	m
HT3260	IV2016120811543925	GroNe_11_20160728	som van vlekken	Som	1	1	0	0	1	m²
HT3260	IV2016120811543925	GroNe_11_20160728	submerse vegetatie afwezig	sv_0	98	98	0	0	1	%
